P/GPa anatase baddeleyite brookite columbite cotunnite C2c fluorite hollandite 0-a-P21c 0-b-P21c 0-c-I41a 0-d-P31m 0-e-C2c 0-f-C2m 0-g-Im2m 40-a-Pnnm 60-a-R3 60-b-P21c 60-c-Pc 60-d-P62m 60-e-P21m 60-f-Pmn21 60-g-Pminus1 OIanalogue pyrite ramsdelliteAnalogue rutile TiO2B
10.1325 -839.334639823189 NaN -844.9116861431211 -850.3462500412645 NaN -844.6975040244307 NaN NaN -850.3244610710751 -848.596977448082 -845.7391253191396 -844.5279534760613 -845.3270217148847 -840.1752925214969 NaN NaN -840.2852833195997 -847.171334324584 NaN NaN NaN NaN NaN -847.2320741087108 -849.3924024023345 -844.6634475907844 -850.6382116409973 -833.1763306283856
10.3858125 -838.1472636705878 NaN -843.7942936012488 -849.28155613946 NaN -843.6916561699409 NaN NaN -849.256135372857 -847.5751182599149 -844.6963168083565 -843.466262345316 -844.288714654384 -839.0575900183869 NaN NaN -839.3352203283802 -846.1609637761816 NaN NaN NaN NaN NaN -846.2346438637097 -848.3902594806566 -843.6541038452053 -849.559991535302 -831.9234635101925
10.639125 -836.9615639094004 NaN -842.678179799864 -848.2178096252859 -834.7836814462541 -842.6868406975373 NaN NaN -848.1888852822739 -846.5542046767786 -843.6545804780691 -842.4056361934632 -843.2514683099221 -837.9416006723121 NaN NaN -838.3859801117851 -845.1516033035851 NaN NaN NaN NaN NaN -845.2381565512178 -847.3890211957271 -842.6457026780116 -848.4827913074242 -830.6722146016135
10.8924375 -835.7775740437031 NaN -841.5633606464027 -847.1550786441533 -833.840726276939 -841.6830796863519 NaN NaN -847.1226792444352 -845.5342245714762 -842.6139383831907 -841.3460822622591 -842.2152890274261 -836.8273134730805 NaN NaN -837.4375609455864 -844.143241598751 NaN NaN NaN -841.3902211992934 NaN -844.2426331165568 -846.3886853982892 -841.6382338308749 -847.4066184556947 -829.4225521664538
11.14575 -834.595210368567 NaN -840.4498156888728 -846.0933894359124 -832.8989616625219 -840.6803952022859 NaN NaN -846.0574998447911 -844.5151739114988 -841.5743958084447 -840.2875964415307 -841.1801831482977 -835.7147123011547 NaN NaN -836.4899466160842 -843.1358713554272 NaN NaN NaN -840.3813674694283 NaN -843.2480876706633 -845.3892283675289 -840.6316765079717 -846.3314652893449 -828.1745423479354
11.3990625 -833.4143658426767 NaN -839.3375204678497 -845.0327299800425 -831.9584192604667 -839.6788100624029 NaN NaN -844.9933478592678 -843.4970540847564 -840.535932564147 -839.2301606919154 -840.1461418714354 -834.6037718299829 NaN NaN -835.5431315214107 -842.1294832785571 NaN NaN NaN -839.3734637824535 NaN -842.2544838726918 -844.3906407563086 -839.6260261845869 -845.2573211020315 -826.928261441901
11.652375 -832.2349973557416 NaN -838.2264498338895 -843.9730907677139 -831.0190500136844 -838.6783478395271 NaN NaN -843.9302286473569 -842.479875243472 -839.498528337051 -838.1737569546266 -839.1131425604765 -833.4944808674774 NaN NaN -834.597115734848 -841.1240705412247 NaN NaN NaN -838.3664972748687 NaN -841.2617981339346 -843.3929148314784 -838.6212972259949 -844.184171520947 -825.6836731023974
11.905687499999999 -831.057179450853 NaN -837.1166052570417 -842.9144703319165 -830.0807584315945 -837.6790654010957 NaN NaN -842.8681620799249 -841.463633606762 -838.4621897354652 -837.1183727946718 -838.0811705709611 -832.3868428643251 NaN NaN -833.651887826142 -840.1196325493817 NaN NaN NaN -837.3604639708279 NaN -840.2700407108639 -842.3960411286307 -837.6174893599251 -843.1119997067588 -824.4407916950727
12.158999999999999 -829.8810621682884 NaN -836.0080033973293 -841.8568654137061 -829.1434504852202 -836.6809973636373 NaN NaN -841.807148327579 -840.4483165264126 -837.426927651749 -836.0640129291733 -837.0502236513086 -831.2808612568081 NaN NaN -832.7074393489584 -839.1161688035228 NaN NaN NaN -836.3553724016556 NaN -839.2792223481443 -841.4000116228775 -836.614601926135 -842.0407904970162 -823.199685747134
12.412312499999999 -828.706642622279 NaN -834.9006501846682 -840.8002685437908 -828.2070990535703 -835.6841100341825 NaN NaN -840.7471645171411 -839.4339053454775 -836.3927269478838 -835.010684864417 -836.0203089664718 -830.1765261553143 NaN NaN -831.7637756416775 -838.113669036516 NaN NaN NaN -835.3512091816947 NaN -838.2893314639781 -840.4048337409321 -835.6126260025273 -840.9705301431626 -821.9603774603585
